ESCO Company Name,Address,Phone,Fax,Email,Website,Commodity,Territory,Service Class
"Alpha Gas and Electric, LLC","12 College Rd, Monsey, NY 10952",845-810-0088,(845) 501-0633,customerservice@laphagne.com,http://www.alphagasandelectric.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"American Power & Gas, LLC","10601 Belcher Road South, Seminole, FL 33777",(727) 733-8700,(727) 733-6618,customerservice@GoAPG.com,http://www.AmericanPowerAndGas.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Ameripro Energy Corp.,"64 Browns River Road 3, Bayport, NY 11705",877-789-2266,,info@ameriproenergy.com,http://www.ameriproenergy.com,ELECTRIC,,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
Approved Energy,"6717 4th Avenue, Brooklyn, NY 11220",1833-CLN-ENER,718-228-9886,support@approvedenergy.com,https://www.approvedenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Atlantic Energy, LLC","2170 Buckthorne Place, Suite 375, The Woodlands, TX 77380",800-917-9133,516-922-2055,info@atlanticenergyco.com,http://www.atlanticenergyco.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"BP Energy Retail Company, LLC","201 Helios Way, Houston, TX 77079",8774324530,,retailcustomercare@bp.com,http://www.bp.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"BluCo Energy, LLC","488 Madison Avenue 23rd Floor, New York, NY 10022",877-662-5826,646-357-9703,cs@TarsierEnerrgy.com,http://www.TarsierEnergy.com,ELECTRIC,,Small Commercial - Serving
Brookfield Renewable,"200 Liberty Street, 14th Floor, New York, NY 10281",888-561-5551,646-992-2470,solutions@brookfieldrenewable.com,https://renewableops.brookfield.com/en/presence/northamerica/solutions,ELECTRIC,,Commercial/Industrial - Certified - Not Serving || Small Commercial - Serving
"Brown's Energy Services, LLC","9 Sommers Lane - 2nd Floor, Staten Island, NY 10314",855-276-9673,(718) 981-4347,michaelp@brownsfuel.com,http://www.brownsfuel.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Brown's Fuel Service, LLC","9 Sommers Lane - 2nd Floor, Staten Island, NY 10314",855-276-9673,(718) 981-4347,michaelp@brownsfuel.com,http://www.brownsfuel.com,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
"Buy Energy Direct, LLC","2124 East 22nd St., Brooklyn, NY 11229",(212) 680-4253,1-800-915-0446,vlad@buyenergydirect.org,http://www.buyenergydirect.org,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Calpine Community Energy, LLC","401 West A Street, Suite 600, San Diego, CA 92101",619-684-8000,619-684-8380,CSJAsupport@calpinesolutions.com,https://cca.calpinesolutions.com,ELECTRIC,Central Hudson Gas & Electric Corporation; || New York State Electric & Gas Corporation;,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
Calpine Energy Solutions LLC,"401 West A Street, Suite 500, San Diego, CA 92101",619-684-8000,619-684-8355,CSAccountAnalysts@calpinesolutions.com,http://Calpinesolutions.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Certified - Not Serving
Catalyst Power,"6161 Savoy Drive, Suite 500, Houston, TX 77036",866-715-7889,888-456-2085,csny@apge.com,http://www.apge.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.;",Commercial/Industrial - Serving
Catalyst Power,"600 Franklin Ave #268, Garden City, NY 11530",716-631-1517,516-252-1275,customercare@catalystpower.com,http://www.USEPelectric.com,ELECTRIC,New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;,Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Champion Energy Services, LLC","1500 Rankin Rd., Suite 200, Houston, TX 77073",877-653-5090,281-653-5080,support@championenergyservices.com,http://www.championenergyservices.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Certified - Not Serving || Small Commercial - Serving
"Chautauqua Energy Management, Inc.","8850 West Route 20, Westfield, NY 14787",(716) 326-4977,(716) 326-4970,bknipe@cemny.com,http://www.cemny.com,GAS,National Fuel Gas Distribution Corporation;,Small Commercial - Serving
"Chief Energy Gas, LLC","90 Mcclean Ave, Staten Island, NY 10305",(718) 816-4535,(347) 287-0119,info@chiefenergy.com,http://www.chiefenergy.com,GAS,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
"Chief Energy Power, LLC","90 McClean Ave, Staten Island, NY 10305",718-816-4535,347-287-0119,info@chiefenergy.com,http://www.chiefenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Cirro Energy,"3711 Market Street, Suite 1000, Philadelphia, PA 19104",866-698-0937,800-520-8189,NYSupport@independenceenergyco.com,http://www.cirroenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || Orange and Rockland Utilities, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Certified - Not Serving
"Citizens Choice Energy, LLC dba AmeriChoice Energy","172 West Englewood Avenue, Teaneck, NJ 07666",(201) 715-5179,(973) 438-1029,contactus@citizenschoiceenergy.com,http://www.citizenschoiceenergy.com/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Certified - Not Serving || Residential - Serving || Small Commercial - Serving
"City Power & Gas, LLC","261 South Main Street, Suite 329, Newtown, CT 06470",877-518-9339,212-937-1922,customerservice@citypowerandgas.com,http://www.citypowerandgas.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Certified - Not Serving || Residential - Serving || Small Commercial - Serving
"Clean Choice Energy, Inc.","1055 Thomas Jefferson St. NW Suite 650, Washington, DC 20007",202-248-9900,202-448-2128,customercare@cleanchoiceenergy.com,https://cleanchoiceenergy.com/go/nyshopper,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
Clear Green Energy LLC,"483 Murray Street, Pelham, NY 10803",888-212-1880,919-899-9072,info@cleargreenenergyus.com,http://www.cleargreenenergyus.com,ELECTRIC,,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
Clearview Energy,"901 Main Street Suite 4700, Dallas, TX 75202",972-546-9990,(972) 546-9991,customerservice@clearviewenergy.com,http://www.clearviewenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Colonial Energy, Inc.","3975 Fair Ridge Drive, Suite T 10 North, Fairfax, VA 22033-2924",(703) 218-2451,703-218-3059,customercare@colonialenergy.com,http://www.colonialenergy.com,GAS,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"Columbia Utilities Power, LLC","8751 18th Avenue, Brooklyn, NY 11214",877-726-5862,(718) 851-2427,CustomerService@ColumbiaUtilities.com,http://www.columbiautilities.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Columbia Utilities, LLC","8751 18th Avenue, Brooklyn, NY 11214",718-851-6655 ext.8,(718) 851-2427,CustomerService@ColumbiaUtilities.com,http://www.columbiautilities.com,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Consolidated Power Co., LLC","450 7th Avenue, Suite 1502, New York, NY 10123",212-563-1191,212-268-1624,office@consolidatedpowerllc.com,http://www.consolidatedpowerllc.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Residential - Certified - Not Serving || Small Commercial - Serving
"Constellation NewEnergy - Gas Division, LLC","9400 Bunsen Parkway, Suite 100, Louisville, KY 40220",(502) 426-4500,(502) 426-8800,home@constellation.com,https://www.constellation.com/rateboard,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Certified - Not Serving || Small Commercial - Serving
"Constellation NewEnergy, Inc.","1310 Point Street, Baltimore, MD 21231",855-465-1244,,home@constellation.com,https://www.constellation.com/rateboard,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
"DTE Energy Trading, Inc.","One Energy Plaza, 400 WCB, Detroit, MI 48226",313-235-4000,(734) 887-2235,,http://www.dteenergytrading.com,GAS,New York State Electric & Gas Corporation; || Rochester Gas and Electric Corporation;,Commercial/Industrial - Serving
"David Energy Supply, LLC","417 Grand Street, Unit 1, Brooklyn, NY 11211",914-909-3940,,info@davidenergy.com,http://www.davidenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Direct Energy Services, LLC","910 Louisiana St., Houston, TX 77002",713-537-3000,(800) 457-9686,csdirectenergy@nrg.com,https://www.directenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving
"Discount Power, Inc.","6 Armstrong Rd., Shelton, CT 06484",203-929-3200,203-951-0965,customerservice@discountpowerinc.com,http://www.discountpowerinc.com,ELECTRIC,,Commercial/Industrial - Certified - Not Serving
Dual Fuel Energy Corp.,"32 Cortlandt Street, Mt Vernon, NY 10550",347-669-2427,914-462-3313,saveenergy@dualfuelcorp.com,http://www.dualfuelcorp.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving
ELECTREE LLC,"915 8th Street 206, Miami Beach, FL 33139",646-235-0251,,info@electreenyc.com,http://www.electreenyc.com,ELECTRIC,,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
ENGIE Resources LLC,"1360 Post Oak Boulevard, Suite 400, Houston, TX 77056",866-693-6443,N/A,care@engieresources.com,http://www.engieresources.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"Eagle Power Authority, Inc.","304 Whittier St., Bronx, NY 10474",917-289-0772,215-359-1533,sales@eaglepower.com,http://www.eaglepower.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving
"Eligo Energy NY, LLC","201 West Lake Street, Suite 151, Chicago, IL 60606",888-744-8125,,customerservice@eligoenergy.com,https://www.eligoenergy.com/signup/standard_residential?lead%5bpartner_code%5D=rateboard,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Empire Natural Gas Corporation,"173 Airport Road, Greene, NY 13778",(607) 656-7851,(607) 656-7854,supplierquotes@empirenatgas.com,http://www.empirenaturalgas.com,ELECTRIC,"Corning Natural Gas Corporation; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.;",Small Commercial - Serving
Energo Power & Gas LLC,"100 Elwood Davis Road Suite 2G, Syracuse, NY 13212",718-435-2200,718-435-3096,regulatory@energo.com,http://www.energo.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Energy Cooperative of New York,"1408 Sweet Home Road, Suite 8, Amherst, NY 14228",716-580-3506,716-932-7337,info@ecamerica.org,http://www.ecamerica.org,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Energy Plus Holdings LLC,"3711 Market Street, Suite 1000, Philadelphia, PA 19104",877-320-0356,800-520-8189,NYSupport@energypluscompany.com,http://www.energypluscompany.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Energy Plus Natural Gas, LLC","3711 Market Street, Suite 1000, Philadelphia, PA 19104",877-320-0356,(800) 520-8189,NYSupport@energypluscompany.com,http://www.energypluscompany.com,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
Energy Rewards,"6555 Sierra Drive, Irving, TX 75039",203-663-5089,855-722-1039,support@energyrewards.com,http://www.myeverydayenergy.com./,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
"Energy Services Providers, LLC DBA New York Gas & Electric (16414EN)","6555 Sierra Dr., Irving, TX 75039",214-812-4600,,CustomerService@usgandE.com,https://www.nygande.com/?rfid=PUC_New_York,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Energy Solutions Company, LLC","78 Rapelye Street, Brooklyn, NY 11231",877-494-3726,212-810-4720,Mike@energysolutions360.com,http://www.energysolutions360.com,GAS,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"EnergyMark, LLC","6653 Main Street, Williamsville, NY 14221",(716) 632-1800,(716) 632-1818,customersupport@energymarkllc.com,http://www.energymarkllc.com,ELECTRIC,"Corning Natural Gas Corporation; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Engie Power & Gas LLC,"920 Railroad Avenue, Woodmere, NY 11598",855-327-6937,(516) 295-1417,epg.customercare@engie.com,http://www.engiepowerandgas.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
"Entergy Solutions, LLC","2001 Timberloch Place, Suite 1 North, The Woodlands, TX 77380",(877) 566-8080,832-442-5959,cgedeme@entergy.com,,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Small Commercial - Serving
"Entrust Energy East, Inc.","1301 McKinney, Suite 2950, Houston, TX 77010",888-521-5861,713-338-2602,contactus@entrustenergy.com,http://www.entrustenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
"Falcon Energy, LLC.","920 Railroad Avenue, Woodmere, NY 11598",516-734-0408,516-295-1417,customercare@plymouthenergy.com,http://plymouthenergy.com,GAS,KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;,Small Commercial - Serving
"Family Energy, Inc. d/b/a MYRATE ENERGY","100 Milverton Drive, Suite 608, Mississauga Canada, ON L5R 4H1",888-472-1085,(866)991-4323,cs@yourfamilyenergy.com,http://www.yourfamilyenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"First Choice Energy, LLC","78 Rapelye Street, Brooklyn, NY 11231",718-836-9222,718-643-6356,customersupport@myfirstchoiceenergy.com,http://www.fcenergyinc.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Niagara Mohawk Power Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
